Restaurant_Name,Rating,Price_For_One,Cuisine,Location,Delivery_Review_Number,Link
Marwadi Chaat Tiffin Services,4.2,100,North Indian,Jayanagar,14,https://www.zomato.com//bangalore/basaveshwar-khanavali-3-jayanagar-bangalore 
Say Cheese Cake,4.0,100,Desserts,Indiranagar,870,https://www.zomato.com//bangalore/baking-bad-pizza-delivery-indiranagar-bangalore 
The Rice Bowl,3.9,100,Asian,Malleshwaram,986,https://www.zomato.com//bangalore/getaway-ice-creams-desserts-malleshwaram-bangalore 
Luckhnow Street,4.0,100,Biryani,Brigade Road,663,https://www.zomato.com//bangalore/barbecue-by-punjab-grill-brigade-road-bangalore 
Thalassery Restaurant Multi Cuisine,3.7,100,Kerala,Jayanagar,206,https://www.zomato.com//bangalore/the-lassi-park-jayanagar-bangalore 
The Handi Crust,3.6,100,North Indian,City Market,5,https://www.zomato.com//bangalore/udupi-sagar-city-market-bangalore 
Cravy Wings,4.1,100,Fast Food,Shanti Nagar,24,https://www.zomato.com//bangalore/sri-udupi-grand-shanti-nagar 
Mahesh Lunch Home,3.9,100,South Indian,Shanti Nagar,586,https://www.zomato.com//bangalore/shankrus-kitchen-shanti-nagar-bangalore 
Buffalo Wild Wings,4.0,100,Mexican,Indiranagar,307,https://www.zomato.com//bangalore/rumi-indiranagar-bangalore 
Srinathji's,3.9,200,Chinese,Rajajinagar,840,https://www.zomato.com//bangalore/marwadi-chaat-tiffin-services-rajajinagar-bangalore 
Sultan Dum Biryani,4.3,200,Biryani,Koramangala,879,https://www.zomato.com//bangalore/say-cheese-cake-koramangala-6th-block-bangalore 
Edesia,4.1,200,Desserts,Hotel Southern Star,1046,https://www.zomato.com//bangalore/the-rice-bowl-1-lavelle-road 
Raidan Restaurant,3.8,200,Chinese,St. Marks Road,13,https://www.zomato.com//bangalore/luckhnow-street-st-marks-road-bangalore 
Shiv Shankar Chaats,3.3,200,Street Food,Frazer Town,647,https://www.zomato.com//bangalore/thalassery-restaurant-multi-cuisine-frazer-town-bangalore 
Sweet Bake - Cake And Desserts,4.0,200,Desserts,Ulsoor,741,https://www.zomato.com//bangalore/the-handi-crust-ulsoor-bangalore 
Srinidhi Sagar Deluxe,4.2,200,South Indian,Koramangala,225,https://www.zomato.com//bangalore/cravy-wings-koramangala-7th-block-bangalore 
Hot Momos Darjeeling Style,3.9,200,Chinese,Indiranagar,191,https://www.zomato.com//bangalore/mahesh-lunch-home-1-indiranagar-bangalore 
Jai Bhavani Dhaba,3.9,200,North Indian,Indiranagar,824,https://www.zomato.com//bangalore/buffalo-wild-wings-indiranagar-bangalore 
Food Springs,4.2,200,Chinese,Indiranagar,568,https://www.zomato.com//bangalore/srinathjis-indiranagar 
The Grand Hyderabad Biryani Restaurant,3.7,200,South Indian,Indiranagar,629,https://www.zomato.com//bangalore/sultan-dum-biryani-indiranagar-bangalore 
The Hole In The Wall Cafe,3.4,200,Beverages,Richmond Road,756,https://www.zomato.com//bangalore/edesia-richmond-road-bangalore 
"Bhatti Chicken - Grilled, NOT Fried!",4.1,250,Fast Food,Frazer Town,230,https://www.zomato.com//bangalore/raidan-restaurant-frazer-town 
Donburi,4.2,250,Chinese,Frazer Town,33,https://www.zomato.com//bangalore/shiv-shankar-chaats-frazer-town 
IGP Cakes,4.1,250,Desserts,Koramangala,776,https://www.zomato.com//bangalore/sweet-bake-cake-and-desserts-3-koramangala-7th-block-bangalore 
Sri Sai Ram Juice and Chats,3.8,250,Street Food,Domlur,132,https://www.zomato.com//bangalore/srinidhi-sagar-deluxe-domlur 
Abees Mess,4.3,250,Kerala,Koramangala,683,https://www.zomato.com//bangalore/hot-momos-darjeeling-style-koramangala-5th-block-bangalore 
Flavorville,3.7,250,Andhra,Indiranagar,742,https://www.zomato.com//bangalore/jai-bhavani-dhaba-indiranagar-bangalore 
Sendhoor Nataraaj Restaurant,4.1,250,Biryani,Jayanagar,259,https://www.zomato.com//bangalore/food-springs-jayanagar 
The Baker's Dozen,3.8,250,Desserts,Frazer Town,7,https://www.zomato.com//bangalore/the-grand-hyderabad-biryani-restaurant-frazer-town-bangalore 
Kudla Beach,4.4,250,South Indian,Koramangala,8102,https://www.zomato.com//bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore 
Dhanraj Ji Chole Bhature,4.0,250,North Indian,Shanti Nagar,733,https://www.zomato.com//bangalore/bhatti-chicken-grilled-not-fried-shanti-nagar-bangalore 
Veg Brooo - Chinese,4.0,250,Chinese,Richmond Town,983,https://www.zomato.com//bangalore/donburi-richmond-town-bangalore 
Malleshwaram Dosa Corner,3.9,250,South Indian,Wilson Garden,546,https://www.zomato.com//bangalore/igp-cakes-wilson-garden-bangalore 
Chapathi Mane,4.4,100,Sweets,Malleshwaram,2,https://www.zomato.com//bangalore/sri-sai-ram-juice-and-chats-malleshwaram-bangalore 
Uday Sweets,3.7,100,Sweets,BTM,5,https://www.zomato.com//bangalore/abees-mess-btm-bangalore 
The Momos And Chaap,3.7,100,North Indian,Basavanagudi,791,https://www.zomato.com//bangalore/flavorville-basavanagudi-bangalore 
