Restaurant_Name,Rating,Price_For_One,Cuisine,Location,Delivery_Review_Number,Link
Thalassery Restaurant,4.5,200,Kerala,Seshadripuram,758,https://www.zomato.com//bangalore/the-betel-leaf-co-originally-from-bangalore-seshadripuram-bangalore 
Kanti Sweets,3.4,200,Sweets,Koramangala,864,https://www.zomato.com//bangalore/bhole-ke-chole-koramangala-6th-block-bangalore 
Imperio Restaurant,3.5,200,South Indian,Basavanagudi,65,https://www.zomato.com//bangalore/little-cafe-6-basavanagudi 
WOW! Momo,4.3,200,Fast Food,Ejipura,574,https://www.zomato.com//bangalore/agadi-mud-pot-tea-ejipura-bangalore 
Kwality Wall’s Frozen Dessert and Ice Cream Shop,3.8,200,Desserts,Ulsoor,279,https://www.zomato.com//bangalore/naachiyars-1-ulsoor 
Chickpet Donne Biryani House,4.0,200,Biryani,Koramangala,791,https://www.zomato.com//bangalore/amore-gelato-koramangala-7th-block-bangalore 
KFC,4.0,200,Fast Food,Garuda Mall,219,https://www.zomato.com//bangalore/burger-king-brigade-road 
Meat And Eat,4.0,200,Fast Food,BTM,654,https://www.zomato.com//bangalore/empire-restaurant-btm-bangalore 
California Burrito,4.0,200,Mexican,Mysore Road,178,https://www.zomato.com//bangalore/a2b-adyar-ananda-bhavan-mysore-road-bangalore 
Beijing Bites,3.6,250,Chinese,Banashankari,23,https://www.zomato.com//bangalore/thalassery-restaurant-banashankari-bangalore 
RNR Biryani - Taste Of 1953,4.6,250,Biryani,MG Road,17,https://www.zomato.com//bangalore/kanti-sweets-mg-road-bangalore 
Starbucks Coffee,3.7,250,Beverages,Banashankari,656,https://www.zomato.com//bangalore/imperio-restaurant-1-banashankari-bangalore 
Bangarpet Chats,4.5,250,Street Food,CV Raman Nagar,645,https://www.zomato.com//bangalore/wow-momo-1-cv-raman-nagar-bangalore 
Chicpet Donne Biriyani House,4.3,250,Biryani,Vijay Nagar,599,https://www.zomato.com//bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-3-vijay-nagar-bangalore 
Sri Udupi Food Hub,4.0,250,South Indian,Jayanagar,36,https://www.zomato.com//bangalore/chickpet-donne-biryani-house-jayanagar-bangalore 
Hyderabad Biryaani House,3.5,250,Biryani,Majestic,39,https://www.zomato.com//bangalore/kfc-majestic-bangalore 
Call Me Chow,4.1,250,Chinese,Banashankari,37,https://www.zomato.com//bangalore/meat-and-eat-1-banashankari-bangalore 
Third Wave Coffee,4.4,250,Beverages,Sigma Mall,222,https://www.zomato.com//bangalore/california-burrito-cunningham-road 
Namaste,3.8,250,South Indian,Rajajinagar,562,https://www.zomato.com//bangalore/beijing-bites-rajajinagar-bangalore 
Savoury Restaurant,4.2,250,Arabian,Koramangala,519,https://www.zomato.com//bangalore/rnr-biryani-taste-of-1953-koramangala-8th-block-bangalore 
Madurai Idly Shop,4.1,250,South Indian,Commercial Street,34,https://www.zomato.com//bangalore/starbucks-coffee-commercial-street-bangalore 
Karnataka Bhel House,3.7,100,Street Food,Kammanahalli,746,https://www.zomato.com//bangalore/bangarpet-chats-1-kammanahalli-bangalore 
Thalairaj Biryani,4.0,100,Biryani,Koramangala,98,https://www.zomato.com//bangalore/chicpet-donne-biriyani-house-koramangala-7th-block-bangalore 
E2P Italian Pizza & Burger,3.7,100,Fast Food,Vijay Nagar,12,https://www.zomato.com//bangalore/sri-udupi-food-hub-vijay-nagar-bangalore 
Food King,4.1,100,Chinese,Richmond Road,53,https://www.zomato.com//bangalore/hyderabad-biryaani-house-1-richmond-road-bangalore 
Belgian Waffle Factory,4.0,100,Desserts,Kalyan Nagar,955,https://www.zomato.com//bangalore/call-me-chow-kalyan-nagar-bangalore 
Adiga's,4.2,100,South Indian,Malleshwaram,321,https://www.zomato.com//bangalore/third-wave-coffee-malleshwaram-bangalore 
Rajanna Military Hotel,3.8,100,Andhra,Ulsoor,571,https://www.zomato.com//bangalore/namaste-1-ulsoor-bangalore 
Gokul Veg,3.4,100,North Indian,Jayanagar,701,https://www.zomato.com//bangalore/savoury-restaurant-jayanagar-bangalore 
