restaurant_name,ratings,price_for_one,cuisine,links,location,delivery_review_no,timings
Little Italy,3.8,350,Continental,www.zomato.com/bangalore/little-italy-indiranagar/order,Indiranagar,3955.0,12noon – 11pm 
Little Italy,3.8,350,Desserts,www.zomato.com/bangalore/little-italy-indiranagar/order,Indiranagar,3955.0,12noon – 11pm 
Little Italy,3.8,350,Healthy Food,www.zomato.com/bangalore/little-italy-indiranagar/order,Indiranagar,3955.0,12noon – 11pm 
Little Italy,3.8,350,Beverages,www.zomato.com/bangalore/little-italy-indiranagar/order,Indiranagar,3955.0,12noon – 11pm 
Taiki,4.0,500,Sushi,www.zomato.com/bangalore/taiki-jayanagar-bangalore/order,Jayanagar,0.0,Timings Not Available
Taiki,4.0,500,Korean,www.zomato.com/bangalore/taiki-jayanagar-bangalore/order,Jayanagar,0.0,Timings Not Available
Taiki,4.0,500,Japanese,www.zomato.com/bangalore/taiki-jayanagar-bangalore/order,Jayanagar,0.0,Timings Not Available
Taiki,4.0,500,Salad,www.zomato.com/bangalore/taiki-jayanagar-bangalore/order,Jayanagar,0.0,Timings Not Available
Taiki,4.0,500,Asian,www.zomato.com/bangalore/taiki-jayanagar-bangalore/order,Jayanagar,0.0,Timings Not Available
Taiki,4.0,500,Desserts,www.zomato.com/bangalore/taiki-jayanagar-bangalore/order,Jayanagar,0.0,Timings Not Available
Taiki,4.0,500,Beverages,www.zomato.com/bangalore/taiki-jayanagar-bangalore/order,Jayanagar,0.0,Timings Not Available
Plan B,4.1,500,American,www.zomato.com/bangalore/plan-b-brigade-road/order,Brigade Road,4794.0,12noon – 1am 
Plan B,4.1,500,Continental,www.zomato.com/bangalore/plan-b-brigade-road/order,Brigade Road,4794.0,12noon – 1am 
Plan B,4.1,500,Burger,www.zomato.com/bangalore/plan-b-brigade-road/order,Brigade Road,4794.0,12noon – 1am 
Plan B,4.1,500,Pizza,www.zomato.com/bangalore/plan-b-brigade-road/order,Brigade Road,4794.0,12noon – 1am 
Plan B,4.1,500,Tex-Mex,www.zomato.com/bangalore/plan-b-brigade-road/order,Brigade Road,4794.0,12noon – 1am 
Rajasthani Dhaba,3.8,500,Rajasthani,www.zomato.com/bangalore/rajasthani-dhaba-shanti-nagar-bangalore/order,Shanti Nagar,34.0,24 Hours 
Rajasthani Dhaba,3.8,500,North Indian,www.zomato.com/bangalore/rajasthani-dhaba-shanti-nagar-bangalore/order,Shanti Nagar,34.0,24 Hours 
New Alameen Restaurant,3.6,500,Biryani,www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore/order,Ulsoor,228.0,9am – 1am 
New Alameen Restaurant,3.6,500,Kerala,www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore/order,Ulsoor,228.0,9am – 1am 
New Alameen Restaurant,3.6,500,North Indian,www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore/order,Ulsoor,228.0,9am – 1am 
New Alameen Restaurant,3.6,500,Chinese,www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore/order,Ulsoor,228.0,9am – 1am 
Madurai Parotta House,3.4,500,North Indian,www.zomato.com/bangalore/madurai-parotta-house-btm-bangalore/order,BTM,0.0,Timings Not Available
Madurai Parotta House,3.4,500,South Indian,www.zomato.com/bangalore/madurai-parotta-house-btm-bangalore/order,BTM,0.0,Timings Not Available
Madurai Parotta House,3.4,500,Chinese,www.zomato.com/bangalore/madurai-parotta-house-btm-bangalore/order,BTM,0.0,Timings Not Available
Cardamom- Ghar Ka Swad,4.0,500,North Indian,www.zomato.com/bangalore/cardamom-ghar-ka-swad-1-btm-bangalore/order,BTM,38.0,"9:30am – 3:30pm, 6:30pm – 11:30pm "
Cardamom- Ghar Ka Swad,4.0,500,Street Food,www.zomato.com/bangalore/cardamom-ghar-ka-swad-1-btm-bangalore/order,BTM,38.0,"9:30am – 3:30pm, 6:30pm – 11:30pm "
Cardamom- Ghar Ka Swad,4.0,500,Bihari,www.zomato.com/bangalore/cardamom-ghar-ka-swad-1-btm-bangalore/order,BTM,38.0,"9:30am – 3:30pm, 6:30pm – 11:30pm "
Burnout Cafe,2.9,500,Cafe,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
