restaurant_name,ratings,price_for_one,cuisine,links,location,delivery_review_no,timings
Chinita Real Mexican Food,4.3,500,Mexican,www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar/order,Indiranagar,2991.0,12noon – 11pm 
Chinita Real Mexican Food,4.3,500,Salad,www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar/order,Indiranagar,2991.0,12noon – 11pm 
Chinita Real Mexican Food,4.3,500,Desserts,www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar/order,Indiranagar,2991.0,12noon – 11pm 
Chinita Real Mexican Food,4.3,500,Beverages,www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar/order,Indiranagar,2991.0,12noon – 11pm 
Bheema's,4.3,500,Andhra,www.zomato.com/bangalore/bheemas-church-street/order,Church Street,875.0,Opens  at 11:30am
Bheema's,4.3,500,Biryani,www.zomato.com/bangalore/bheemas-church-street/order,Church Street,875.0,Opens  at 11:30am
Bheema's,4.3,500,South Indian,www.zomato.com/bangalore/bheemas-church-street/order,Church Street,875.0,Opens  at 11:30am
Asia Seven – Sizzling Chinese,3.9,500,Chinese,www.zomato.com/bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore/order,Malleshwaram,3.0,11am – 10:45pm 
Asia Seven – Sizzling Chinese,3.9,500,Momos,www.zomato.com/bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore/order,Malleshwaram,3.0,11am – 10:45pm 
Asia Seven – Sizzling Chinese,3.9,500,Asian,www.zomato.com/bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore/order,Malleshwaram,3.0,11am – 10:45pm 
Asia Seven – Sizzling Chinese,3.9,500,Sichuan,www.zomato.com/bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore/order,Malleshwaram,3.0,11am – 10:45pm 
Asia Seven – Sizzling Chinese,3.9,500,Thai,www.zomato.com/bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore/order,Malleshwaram,3.0,11am – 10:45pm 
Asia Seven – Sizzling Chinese,3.9,500,Beverages,www.zomato.com/bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore/order,Malleshwaram,3.0,11am – 10:45pm 
Alemane Donne Biriyani,4.2,500,Biryani,www.zomato.com/bangalore/alemane-donne-biriyani-1-domlur-bangalore/order,Domlur,3.0,11:45am – 10:45pm 
Alemane Donne Biriyani,4.2,500,Shawarma,www.zomato.com/bangalore/alemane-donne-biriyani-1-domlur-bangalore/order,Domlur,3.0,11:45am – 10:45pm 
Alemane Donne Biriyani,4.2,500,Grilled Chicken,www.zomato.com/bangalore/alemane-donne-biriyani-1-domlur-bangalore/order,Domlur,3.0,11:45am – 10:45pm 
Karim's Delhi 6 - Since 1913,4.1,500,Mughlai,www.zomato.com/bangalore/karims-delhi-6-since-1913-st-marks-road-bangalore/order,St. Marks Road,69.0,"8am – 11:45am, 12:30pm – 4pm, 7pm – 11:15pm "
Karim's Delhi 6 - Since 1913,4.1,500,North Indian,www.zomato.com/bangalore/karims-delhi-6-since-1913-st-marks-road-bangalore/order,St. Marks Road,69.0,"8am – 11:45am, 12:30pm – 4pm, 7pm – 11:15pm "
Karim's Delhi 6 - Since 1913,4.1,500,Rolls,www.zomato.com/bangalore/karims-delhi-6-since-1913-st-marks-road-bangalore/order,St. Marks Road,69.0,"8am – 11:45am, 12:30pm – 4pm, 7pm – 11:15pm "
Nisarga Garden Restaurant,4.2,500,South Indian,www.zomato.com/bangalore/nisarga-garden-restaurant-basavanagudi/order,Basavanagudi,64.0,Opens  at 7am
Nisarga Garden Restaurant,4.2,500,Chinese,www.zomato.com/bangalore/nisarga-garden-restaurant-basavanagudi/order,Basavanagudi,64.0,Opens  at 7am
Nisarga Garden Restaurant,4.2,500,Desserts,www.zomato.com/bangalore/nisarga-garden-restaurant-basavanagudi/order,Basavanagudi,64.0,Opens  at 7am
Nisarga Garden Restaurant,4.2,500,Beverages,www.zomato.com/bangalore/nisarga-garden-restaurant-basavanagudi/order,Basavanagudi,64.0,Opens  at 7am
Dhaba - Estd 1986 Delhi,4.1,500,North Indian,www.zomato.com/bangalore/dhaba-estd-1986-delhi-1-brigade-road-bangalore/order,Forum Rex Walk,105.0,12noon – 11:30pm 
Dhaba - Estd 1986 Delhi,4.1,500,Mughlai,www.zomato.com/bangalore/dhaba-estd-1986-delhi-1-brigade-road-bangalore/order,Forum Rex Walk,105.0,12noon – 11:30pm 
